id,problem_type,is_optimization,type_reason,solution_space_size,is_solution_space_complete,stop_reason,exit_status,runtime_sec,space_counting_mode,exec_status,exec_error,num_decision_variables,num_instances,has_example_instance,category,source
arch_friends,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0009444,feasible,ok,nan,8,0,False,hakan_examples,http://www.hakank.org/cpmpy/arch_friends.py
assignment_costs,COP,True,explicit model.minimize/maximize in code,120.0,True,complete,OPTIMAL,0.0216175,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/assignment.py
autoref,CSP,False,no explicit objective call in code,2.0,True,complete,OPTIMAL,0.0645787,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/autoref.py
bales_of_hay,CSP,False,no explicit objective call in code,120.0,True,complete,OPTIMAL,1.9778916,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/bales_of_hay.py
bananas,COP,True,explicit model.minimize/maximize in code,16.0,True,complete,OPTIMAL,0.0112853,feasible,ok,nan,4,0,False,hakan_examples,http://www.hakank.org/cpmpy/bananas.py
best_host,CSP,False,no explicit objective call in code,12.0,True,complete,OPTIMAL,0.0198485,feasible,ok,nan,1,0,False,hakan_examples,http://www.hakank.org/cpmpy/best_host.py
big_bang2,CSP,False,no explicit objective call in code,721260,False,time_limit,FEASIBLE,300.00520170000004,feasible,ok,Reached time_limit=300s (runtime=300.00520170000004),1,1,True,hakan_examples,http://www.hakank.org/cpmpy/big_bang2.py
bin_packing,CSP,False,no explicit objective call in code,2400.0,True,complete,OPTIMAL,1.7900782000000002,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/bin_packing.py
birthday_coins,CSP,False,no explicit objective call in code,3.0,True,complete,OPTIMAL,0.0015798,feasible,ok,nan,1,0,False,hakan_examples,http://www.hakank.org/cpmpy/birthday_coins.py
bowls_and_oranges,CSP,False,no explicit objective call in code,765982,False,time_limit,FEASIBLE,300.0079291,feasible,ok,Reached time_limit=300s (runtime=300.0079291),1,1,True,hakan_examples,http://www.hakank.org/cpmpy/bowls_and_oranges.py
broken_weights,COP,True,objective in Model(...) constructor,24.0,True,complete,OPTIMAL,0.4188825,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/broken_weights.py
building_blocks,CSP,False,no explicit objective call in code,24.0,True,complete,OPTIMAL,0.1348937,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/building_blocks.py
bus_scheduling,COP,True,explicit model.minimize/maximize in code,1000000,False,solution_limit,FEASIBLE,170.12115550000001,feasible,ok,Reached solution_limit=1000000,1,1,True,cpmpy_examples,https://github.com/CPMpy/cpmpy/blob/master/examples/bus_schedule.py
cabling,COP,True,explicit model.minimize/maximize in code,40320.0,True,complete,OPTIMAL,8.7807995,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/cabling.py
calvin_puzzle,CSP,False,no explicit objective call in code,12400,True,complete,OPTIMAL,154.6003097,feasible,ok,,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/calvin_puzzle.py
candies,COP,True,explicit model.minimize/maximize in code,422230,False,time_limit,FEASIBLE,300.0008588,feasible,ok,Reached time_limit=300s (runtime=300.0008588),2,1,True,hakan_examples,http://www.hakank.org/cpmpy/candies.py
capital_budget,COP,True,explicit model.minimize/maximize in code,13.0,True,complete,OPTIMAL,0.0018178,feasible,ok,nan,2,1,True,hakan_examples,http://www.hakank.org/cpmpy/capital_budget.py
car_selection,COP,True,explicit model.minimize/maximize in code,204.0,True,complete,OPTIMAL,0.0098044,feasible,ok,nan,1,1,True,complex_or,https://github.com/xzymustbexzy/Chain-of-Experts/blob/main/dataset/ComplexOR/car_selection
cell_tower,COP,True,explicit model.minimize/maximize in code,7.0,True,complete,OPTIMAL,0.0005969,feasible,ok,nan,2,1,True,complex_or,https://github.com/xzymustbexzy/Chain-of-Experts/blob/main/dataset/ComplexOR/cell_tower
chess_set,COP,True,explicit model.minimize/maximize in code,2130.0,True,complete,OPTIMAL,0.0749882,feasible,ok,nan,3,0,False,hakan_examples,http://www.hakank.org/cpmpy/chess_set.py
circling_squares,CSP,False,no explicit objective call in code,6.0,True,complete,OPTIMAL,0.0362566,feasible,ok,nan,10,0,False,hakan_examples,http://www.hakank.org/cpmpy/circling_squares.py
circular_table_averbach_1_2,CSP,False,no explicit objective call in code,3.0,True,complete,OPTIMAL,0.0042391,feasible,ok,nan,6,0,False,hakan_examples,http://www.hakank.org/cpmpy/averbach_1_2.py
clock_triplets,CSP,False,no explicit objective call in code,6264.0,True,complete,OPTIMAL,6.4875347,feasible,ok,nan,1,0,False,hakan_examples,http://www.hakank.org/cpmpy/clock_triplets.py
cmo_2012,COP,True,objective in Model(...) constructor (minimize=),23,False,time_limit,FEASIBLE,300.0119859,feasible,ok,Reached time_limit=300s (runtime=300.0119859),4,1,True,hakan_examples,http://www.hakank.org/cpmpy/2012_CMO_problem.py
coin3_application,COP,True,objective in Model(...) constructor (minimize=),3095,False,time_limit,FEASIBLE,300.002018,feasible,ok,Reached time_limit=300s (runtime=300.002018),1,1,True,hakan_examples,http://www.hakank.org/cpmpy/coins3.py
coins_grid,COP,True,explicit model.minimize/maximize in code,247087,False,time_limit,FEASIBLE,300.0070451,feasible,ok,Reached time_limit=300s (runtime=300.0070451),2,1,True,hakan_examples,http://www.hakank.org/cpmpy/coins_grid.py
contracting_costs,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0004508,feasible,ok,nan,6,0,False,hakan_examples,http://www.hakank.org/cpmpy/contracting_costs.py
covering_opl,COP,True,objective in Model(...) constructor (minimize=),1000000,False,solution_limit,FEASIBLE,80.38318910000001,feasible,ok,Reached solution_limit=1000000,2,1,True,hakan_examples,http://www.hakank.org/cpmpy/covering_opl.py
crew,CSP,False,no explicit objective call in code,22109,False,time_limit,FEASIBLE,300.0006884,feasible,ok,Reached time_limit=300s (runtime=300.0006884),1,1,True,hakan_examples,http://www.hakank.org/cpmpy/crew.py
crossword,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.001635,feasible,ok,nan,1,0,False,hakan_examples,http://www.hakank.org/cpmpy/crossword2.py
crypta,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0686423,feasible,ok,nan,10,0,False,hakan_examples,http://www.hakank.org/cpmpy/crypta.py
csplib_001_car_sequencing,CSP,False,no explicit objective call in code,20.0,True,complete,OPTIMAL,0.305492,feasible,ok,nan,1,75,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/car_sequencing.ipynb
csplib_002_template_design,COP,True,explicit model.minimize/maximize in code,52282,False,time_limit,FEASIBLE,300.0038669,feasible,ok,Reached time_limit=300s (runtime=300.0038669),2,7,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob002_template_design.py
csplib_003_quasigroup_existence,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0003568,feasible,ok,nan,1,20,True,csplib,nan
csplib_005_autocorrelation,COP,True,explicit model.minimize/maximize in code,1024.0,True,complete,OPTIMAL,0.0245528,feasible,ok,nan,1,3,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob005_auto_correlation.py
csplib_006_golomb_rulers,COP,True,explicit model.minimize/maximize in code,1000000,False,solution_limit,FEASIBLE,194.9272256,feasible,ok,Reached solution_limit=1000000,2,3,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob006_golomb.py
csplib_007_all_interval,CSP,False,no explicit objective call in code,1328.0,True,complete,OPTIMAL,4.1752363,feasible,ok,nan,2,3,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob007_all_interval.py
csplib_008_vessel_loading,CSP,False,no explicit objective call in code,8.0,True,complete,OPTIMAL,0.0044084,feasible,ok,nan,4,2,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob008_vessel_loading.py
csplib_009_perfect_square_placement,CSP,False,no explicit objective call in code,23040.0,True,complete,OPTIMAL,5.1592675,feasible,ok,nan,2,8,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob009_perfect_squares.py
csplib_010_social_golfers_problem,CSP,False,no explicit objective call in code,542412,False,time_limit,FEASIBLE,300.0035793,feasible,ok,Reached time_limit=300s (runtime=300.0035793),1,10,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob010_social_golfers.py
csplib_011_acc_basketball_schedule,CSP,False,no explicit objective call in code,1431.0,True,complete,OPTIMAL,33.2260945,feasible,ok,nan,2,1,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob011_basketball_schedule.py
csplib_012_nonogram,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0030917,feasible,ok,nan,1,14,True,csplib,nan
csplib_013_progressive_party_problem,COP,True,explicit model.minimize/maximize in code,121.0,True,complete,OPTIMAL,0.0612716,feasible,ok,nan,2,10,True,csplib,nan
csplib_014_solitaire_battleships,CSP,False,no explicit objective call in code,22.0,True,complete,OPTIMAL,4.3631288,feasible,ok,nan,1,1,True,csplib,nan
csplib_015_schurs_lemma,CSP,False,no explicit objective call in code,18.0,True,complete,OPTIMAL,0.0593166,feasible,ok,nan,1,4,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob015_shur_lemma.py
csplib_016_traffic_lights,CSP,False,no explicit objective call in code,4.0,True,complete,OPTIMAL,0.0019964,feasible,ok,nan,1,1,True,csplib,nan
csplib_018_water_bucket,COP,True,explicit model.minimize/maximize in code,504197,True,complete,OPTIMAL,229.3441065,feasible,ok,,2,1,True,csplib,
csplib_019_magic_squares_and_sequences,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.00706,feasible,ok,nan,1,9,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob019_magic_sequence.py
csplib_021_crossfigures,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0208407,feasible,ok,nan,1,0,False,csplib,http://www.hakank.org/cpmpy/crossfigure.py
csplib_022_bus_driver_scheduling,COP,True,explicit model.minimize/maximize in code,1.0,True,complete,OPTIMAL,0.0011122,feasible,ok,nan,1,1,True,csplib,https://www.csplib.org/Problems/prob022/
csplib_023_magic_hexagon,CSP,False,no explicit objective call in code,12.0,True,complete,OPTIMAL,1.011906,feasible,ok,nan,1,1,True,csplib,https://www.csplib.org/Problems/prob023/
csplib_024_langford,CSP,False,no explicit objective call in code,115727,False,time_limit,FEASIBLE,300.00584710000004,feasible,ok,Reached time_limit=300s (runtime=300.00584710000004),1,5,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob024_langford.py
csplib_026_sports_tournament_scheduling,CSP,False,no explicit objective call in code,477646,False,time_limit,FEASIBLE,300.0603913,feasible,ok,Reached time_limit=300s (runtime=300.0603913),2,1,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob026_sport_scheduling.py
csplib_028_bibd,CSP,False,no explicit objective call in code,310399,False,time_limit,FEASIBLE,301.4111957,feasible,ok,Reached time_limit=300s (runtime=301.4111957),1,1,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob028_bibd.py
csplib_032_max_density_still_life,COP,True,explicit model.minimize/maximize in code,5301,False,time_limit,FEASIBLE,300.0009885,feasible,ok,Reached time_limit=300s (runtime=300.0009885),1,5,True,csplib,https://www.csplib.org/Problems/prob032/
csplib_033_word_design,CSP,False,no explicit objective call in code,330700,False,time_limit,FEASIBLE,300.0020531,feasible,ok,Reached time_limit=300s (runtime=300.0020531),1,5,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob033_word_design.py
csplib_034_warehouse_location,COP,True,explicit model.minimize/maximize in code,138600.0,True,complete,OPTIMAL,31.9528262,feasible,ok,nan,3,1,True,csplib,https://www.csplib.org/Problems/prob034/
csplib_039_rehearsal,COP,True,explicit model.minimize/maximize in code,1000000,False,solution_limit,FEASIBLE,81.9967527,feasible,ok,Reached solution_limit=1000000,1,2,True,csplib,
csplib_041_n_fractions,CSP,False,no explicit objective call in code,6.0,True,complete,OPTIMAL,0.4529643,feasible,ok,nan,9,0,False,csplib,https://www.hakank.org/cpmpy/fractions_model.py
csplib_044_steiner,CSP,False,no explicit objective call in code,151200,True,complete,OPTIMAL,52.3258232,feasible,ok,,1,4,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob044_steiner.py
csplib_049_number_partitioning,CSP,False,no explicit objective call in code,1152.0,True,complete,OPTIMAL,1.2306448,feasible,ok,nan,2,4,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob049_number_partitioning.py
csplib_050_diamond_free,CSP,False,no explicit objective call in code,7785,False,time_limit,FEASIBLE,300.000878,feasible,ok,Reached time_limit=300s (runtime=300.000878),1,6,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob050_diamond_free.py
csplib_053_graceful_graphs,CSP,False,no explicit objective call in code,1440.0,True,complete,OPTIMAL,19.3447371,feasible,ok,nan,2,1,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob053_gracefull_graphs.py
csplib_054_n_queens,CSP,False,no explicit objective call in code,724.0,True,complete,OPTIMAL,0.7576782000000001,feasible,ok,nan,1,6,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob054_n_queens.py
csplib_056_sonet,COP,True,explicit model.minimize/maximize in code,49512.0,True,complete,OPTIMAL,7.9282561,feasible,ok,nan,2,1,True,csplib,https://www.csplib.org/Problems/prob056/models/Sonet.py.html
csplib_057_killer_sudoku,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0096452,feasible,ok,nan,1,1,True,csplib,https://www.hakank.org/cpmpy/killer_sudoku.py
csplib_067_quasigroup_completion,CSP,False,no explicit objective call in code,48.0,True,complete,OPTIMAL,0.0054869,feasible,ok,nan,1,1,True,csplib,https://www.csplib.org/Problems/prob067/
csplib_074_maximum_clique,COP,True,explicit model.minimize/maximize in code,13.0,True,complete,OPTIMAL,0.0017123,feasible,ok,nan,1,1,True,csplib,https://www.csplib.org/Problems/prob074/
csplib_076_costas_arrays,CSP,False,no explicit objective call in code,444.0,True,complete,OPTIMAL,0.8750432,feasible,ok,nan,1,5,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob076_costas_arrays.py
csplib_084_hadamard_matrix,CSP,False,no explicit objective call in code,972.0,True,complete,OPTIMAL,0.5233256000000001,feasible,ok,nan,2,5,True,csplib,https://github.com/CPMpy/cpmpy/blob/master/examples/csplib/prob084_hadamard_matrix.py
curious_set_of_integers,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0035961,feasible,ok,nan,1,0,False,hakan_examples,http://www.hakank.org/cpmpy/curious_set_of_integers.py
cur_num,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0007187,feasible,ok,nan,1,0,False,hakan_examples,http://www.hakank.org/cpmpy/cur_num.py
cutting_stock,COP,True,explicit model.minimize/maximize in code,9603.0,True,complete,OPTIMAL,0.3450358,feasible,ok,nan,2,1,True,complex_or,https://github.com/xzymustbexzy/Chain-of-Experts/blob/main/dataset/ComplexOR/cutting_stock
devils_word,CSP,False,no explicit objective call in code,288.0,True,complete,OPTIMAL,0.097831,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/devils_word.py
de_bruijn_sequence,CSP,False,no explicit objective call in code,256.0,True,complete,OPTIMAL,0.2386283,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/debruijn.py
diet,COP,True,objective in Model(...) constructor (minimize=),23746.0,True,complete,OPTIMAL,1.1415662,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/diet1.py
dinner,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0016485,feasible,ok,nan,3,0,False,hakan_examples,http://www.hakank.org/cpmpy/dinner.py
discrete_tomography,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0015232,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/discrete_tomography.py
divisible_by_1_through_9,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.2470963,feasible,ok,nan,1,0,False,hakan_examples,http://www.hakank.org/cpmpy/divisible_by_1_through_9.py
dudeney_numbers,CSP,False,no explicit objective call in code,5.0,True,complete,OPTIMAL,17.4923755,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/dudeney_numbers.py
eighteen_hole_golf,CSP,False,no explicit objective call in code,1000000,False,solution_limit,FEASIBLE,52.264928000000005,feasible,ok,Reached solution_limit=1000000,1,0,False,hakan_examples,http://www.hakank.org/cpmpy/18_hole_golf.py
equal_sized_groups,COP,True,explicit model.minimize/maximize in code,79278,False,time_limit,FEASIBLE,300.0041363,feasible,ok,Reached time_limit=300s (runtime=300.0041363),1,1,True,hakan_examples,http://www.hakank.org/cpmpy/equal_sized_groups.py
facility_location,COP,True,explicit model.minimize/maximize in code,1000000,False,solution_limit,FEASIBLE,181.253523,feasible,ok,Reached solution_limit=1000000,3,1,True,hakan_examples,http://www.hakank.org/cpmpy/facility_location_problem.py
fancy_dress,COP,True,objective in Model(...) constructor,20.0,True,complete,OPTIMAL,0.0022144,feasible,ok,nan,5,0,False,hakan_examples,http://www.hakank.org/cpmpy/fancy.py
fibonacci_even,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0027564,feasible,ok,nan,1,0,False,hakan_examples,http://www.hakank.org/cpmpy/euler2.py
fifty_puzzle,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0008328,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/50_puzzle.py
finding_celebrities,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0007485,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/finding_celebrities.py
five_brigands,CSP,False,no explicit objective call in code,6627.0,True,complete,OPTIMAL,1.5946215,feasible,ok,nan,5,0,False,hakan_examples,http://www.hakank.org/cpmpy/five_brigands.py
five_statements,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0008755,feasible,ok,nan,1,0,False,hakan_examples,http://www.hakank.org/cpmpy/five_statements.py
fixed_charge,COP,True,explicit model.minimize/maximize in code,35.0,True,complete,OPTIMAL,0.0492885,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/fixed_charge.py
flip_rows_cols,COP,True,objective in Model(...) constructor,10.0,True,complete,OPTIMAL,3.6169802,feasible,ok,nan,2,1,True,hakan_examples,http://www.hakank.org/cpmpy/einav_puzzle.py
flowshop_scheduling,COP,True,explicit model.minimize/maximize in code,11508.0,True,complete,OPTIMAL,1.0549543,feasible,ok,nan,1,1,True,complex_or,https://github.com/xzymustbexzy/Chain-of-Experts/blob/main/dataset/ComplexOR/flowshop_scheduling
flow_free_game,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0029836,feasible,ok,nan,1,1,True,hakan_examples,http://www.hakank.org/cpmpy/flow_free_game.py
football,COP,True,explicit model.minimize/maximize in code,28.0,True,complete,OPTIMAL,0.0317161,feasible,ok,nan,1,0,False,hakan_examples,http://www.hakank.org/cpmpy/football.py
four_islands,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0021438,feasible,ok,nan,3,0,False,hakan_examples,http://www.hakank.org/cpmpy/four_islands.py
four_numbers,CSP,False,no explicit objective call in code,18.0,True,complete,OPTIMAL,0.0093849,feasible,ok,nan,1,1,True,hakan_examples,https://www.hakank.org/cpmpy/four_numbers.py
frog_circle,CSP,False,no explicit objective call in code,382.0,True,complete,OPTIMAL,5.554774,feasible,ok,nan,1,1,True,hakan_examples,https://www.hakank.org/cpmpy/frog_circle.py
futoshiki,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0011729,feasible,ok,nan,1,1,True,hakan_examples,https://www.hakank.org/cpmpy/futoshiki.py
general_store,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.5527324,feasible,ok,nan,10,0,False,hakan_examples,https://www.hakank.org/cpmpy/general_store.py
giant_cat_army,CSP,False,no explicit objective call in code,98.0,True,complete,OPTIMAL,0.0793023,feasible,ok,nan,1,0,False,hakan_examples,https://www.hakank.org/cpmpy/giant_cat_army_riddle.py
handshaking,CSP,False,no explicit objective call in code,2988,False,time_limit,FEASIBLE,300.00431080000004,feasible,ok,Reached time_limit=300s (runtime=300.00431080000004),1,1,True,hakan_examples,https://www.hakank.org/cpmpy/handshaking.py
hanging_weights,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0023418,feasible,ok,nan,13,0,False,hakan_examples,https://www.hakank.org/cpmpy/hanging_weights.py
heterosquare,CSP,False,no explicit objective call in code,41178,False,time_limit,FEASIBLE,300.0026543,feasible,ok,Reached time_limit=300s (runtime=300.0026543),1,1,True,hakan_examples,https://www.hakank.org/cpmpy/heterosquare.py
hidato,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.5823859,feasible,ok,nan,1,1,True,hakan_examples,https://www.hakank.org/cpmpy/hidato.py
huey_dewey_louie,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0005963,feasible,ok,nan,3,0,False,hakan_examples,https://www.hakank.org/cpmpy/huey_dewey_louie.py
initials_queue,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0049236,feasible,ok,nan,1,0,False,hakan_examples,https://www.hakank.org/cpmpy/initials_queue_problem.py
isbn,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.000489,feasible,ok,nan,1,0,False,hakan_examples,https://www.hakank.org/cpmpy/isbn.py
jobshop,COP,True,explicit model.minimize/maximize in code,1000000,False,solution_limit,FEASIBLE,86.53613390000001,feasible,ok,Reached solution_limit=1000000,1,1,True,cpmpy_examples,https://github.com/CPMpy/cpmpy/blob/master/examples/jobshop.py
jobs_puzzle,CSP,False,no explicit objective call in code,96.0,True,complete,OPTIMAL,0.0525514,feasible,ok,nan,8,0,False,hakan_examples,https://www.hakank.org/cpmpy/jobs_puzzle.py
just_forgotten,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0286104,feasible,ok,nan,1,1,True,hakan_examples,https://www.hakank.org/cpmpy/just_forgotten.py
kakuro,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0057641,feasible,ok,nan,1,1,True,hakan_examples,https://www.hakank.org/cpmpy/kakuro.py
kenken,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0106264,feasible,ok,nan,1,1,True,hakan_examples,https://www.hakank.org/cpmpy/kenken2.py
knapsack,COP,True,objective in Model(...) constructor (maximize=),16.0,True,complete,OPTIMAL,0.0007213,feasible,ok,nan,1,1,True,cpmpy_examples,https://github.com/CPMpy/cpmpy/blob/master/examples/knapsack.py
knights_tour,CSP,False,no explicit objective call in code,281671,False,time_limit,FEASIBLE,300.0995606,feasible,ok,Reached time_limit=300s (runtime=300.0995606),1,0,False,hakan_examples,https://www.hakank.org/cpmpy/knights_tour_circuit.py
mario,COP,True,explicit model.minimize/maximize in code,1000000,False,solution_limit,FEASIBLE,267.20000020000003,feasible,ok,Reached solution_limit=1000000,1,1,True,cpmpy_examples,https://github.com/CPMpy/cpmpy/blob/master/examples/mario.py
media_selection,COP,True,explicit model.minimize/maximize in code,4.0,True,complete,OPTIMAL,0.0009394,feasible,ok,nan,2,1,True,complex_or,https://github.com/xzymustbexzy/Chain-of-Experts/blob/main/dataset/ComplexOR/media_selection
minesweeper,CSP,False,no explicit objective call in code,4.0,True,complete,OPTIMAL,0.0025285,feasible,ok,nan,1,1,True,cpmpy_examples,https://github.com/CPMpy/cpmpy/blob/master/examples/minesweeper.py
multi,COP,True,explicit model.minimize/maximize in code,121.0,True,complete,OPTIMAL,0.0203977,feasible,ok,nan,1,1,True,complex_or,https://github.com/xzymustbexzy/Chain-of-Experts/blob/main/dataset/ComplexOR/multi
netasgn,COP,True,explicit model.minimize/maximize in code,3.0,True,complete,OPTIMAL,0.0008991,feasible,ok,nan,2,1,True,complex_or,https://github.com/xzymustbexzy/Chain-of-Experts/blob/main/dataset/ComplexOR/netasgn
n_puzzle,CSP,False,no explicit objective call in code,1.0,True,complete,OPTIMAL,0.0398978,feasible,ok,nan,1,1,True,cpmpy_examples,https://github.com/CPMpy/cpmpy/blob/master/examples/npuzzle.py
packing_rectangles,COP,True,explicit minimize/maximize in code,1000000,False,solution_limit,FEASIBLE,99.6326068,feasible,ok,Reached solution_limit=1000000,4,1,True,cpmpy_examples,https://github.com/CPMpy/cpmpy/blob/master/examples/packing_rectangles.ipynb
prod,COP,True,explicit model.minimize/maximize in code,64.0,True,complete,OPTIMAL,0.001747,feasible,ok,nan,2,1,True,complex_or,https://github.com/xzymustbexzy/Chain-of-Experts/blob/main/dataset/ComplexOR/prod
pythagorean_triplet,CSP,False,no explicit objective call in code,2.0,True,complete,OPTIMAL,0.1524407,feasible,ok,nan,3,0,False,hakan_examples,http://www.hakank.org/cpmpy/euler9.py
resource_constrained_project_scheduling,COP,True,explicit model.minimize/maximize in code,1000000,False,solution_limit,FEASIBLE,102.75479510000001,feasible,ok,Reached solution_limit=1000000,1,1,True,cpmpy_examples,https://github.com/CPMpy/cpmpy/blob/master/examples/rcpsp.py
